,Route,Year,PointID,grouse1,grouse2,grouse3,elev,fc,doy.1,doy.2,doy.3
258,15,2021,15_5,0,0,0,600.5107068,82.68115942,79,94,133
259,15,2020,15_6,0,0,0,640.717984,84.56521739,72,97,120
260,15,2021,15_6,0,0,0,640.717984,84.56521739,79,94,133
261,15,2020,15_7,0,0,0,681.8585403,82.35294118,72,97,120
262,15,2021,15_7,0,0,0,681.8585403,82.35294118,79,94,133
263,15,2020,15_8,0,0,0,665.5967577,79.01459854,72,97,120
264,15,2021,15_8,0,0,0,665.5967577,79.01459854,79,94,133
265,15,2020,15_9,0,0,0,661.5027859,83.69565217,72,97,120
266,15,2021,15_9,0,0,0,661.5027859,83.69565217,79,94,133
267,16,2020,16_1,0,0,0,718.6443194,62.93478261,88,109,139
268,16,2021,16_1,0,0,0,718.6443194,62.93478261,83,97,119
269,16,2020,16_2,0,0,0,703.5120612,72.01438849,88,109,139
270,16,2021,16_2,0,0,0,703.5120612,72.01438849,83,97,119
271,16,2020,16_3,0,0,0,674.1946148,49.81751825,88,109,139
272,16,2021,16_3,0,0,0,674.1946148,49.81751825,83,97,119
273,16,2020,16_4,0,0,0,680.1222384,59.20289855,88,109,139
274,16,2021,16_4,0,0,0,680.1222384,59.20289855,83,97,119
275,16,2020,16_5,0,0,0,626.3852811,56.24087591,88,109,139
276,16,2021,16_5,0,0,0,626.3852811,56.24087591,83,97,119
277,16,2020,16_6,0,0,0,585.365417,56.33333333,88,109,139
278,16,2021,16_6,0,0,0,585.365417,56.33333333,83,97,119
279,16,2020,16_7,0,0,0,594.6167603,72.31617647,88,109,139
280,16,2021,16_7,0,0,0,594.6167603,72.31617647,83,97,119
281,16,2020,16_8,0,0,0,602.9324247,43.86861314,88,109,139
282,16,2021,16_8,0,0,0,602.9324247,43.86861314,83,97,119
283,16,2020,16_9,0,0,0,664.5079212,84.48905109,88,109,139
284,16,2021,16_9,0,0,0,664.5079212,84.48905109,83,97,119
285,165,2020,165_1,0,0,0,426.8822917,70.86330935,80,113,140
286,165,2021,165_1,0,0,0,426.8822917,70.86330935,79,95,109
287,165,2020,165_10,0,0,0,388.5226824,74.08759124,80,113,140
288,165,2021,165_10,0,0,0,388.5226824,74.08759124,79,95,109
289,165,2020,165_11,0,0,0,378.8742954,75.65693431,80,113,140
290,165,2021,165_11,0,0,0,378.8742954,75.65693431,79,95,109
291,165,2020,165_12,0,0,0,361.0512153,71.64179104,80,113,140
292,165,2021,165_12,0,0,0,361.0512153,71.64179104,79,95,109
293,165,2020,165_2,0,0,0,440.3612049,74.30656934,80,113,140
294,165,2021,165_2,0,0,0,440.3612049,74.30656934,79,95,109
295,165,2020,165_3,0,0,0,445.9336385,60.97122302,80,113,140
296,165,2021,165_3,0,0,0,445.9336385,60.97122302,79,95,109
297,165,2020,165_4,0,0,0,427.3714401,72.77372263,80,113,140
298,165,2021,165_4,0,0,0,427.3714401,72.77372263,79,95,109
299,165,2020,165_5,0,0,0,402.9166104,80.62043796,80,113,140
300,165,2021,165_5,0,0,0,402.9166104,80.62043796,79,95,109
301,165,2020,165_6,0,0,0,375.2625804,78.75912409,80,113,140
302,165,2021,165_6,0,0,0,375.2625804,78.75912409,79,95,109
303,165,2020,165_7,0,0,0,401.8594843,77.20588235,80,113,140
304,165,2021,165_7,0,0,0,401.8594843,77.20588235,79,95,109
305,165,2020,165_8,0,0,0,414.6028759,70.28776978,80,113,140
306,165,2021,165_8,0,0,0,414.6028759,70.28776978,79,95,109
307,165,2020,165_9,0,0,0,386.3639166,75.28985507,80,113,140
308,165,2021,165_9,0,0,0,386.3639166,75.28985507,79,95,109
309,172,2020,172_1,0,0,0,883.8917117,84.27536232,86,107,135
310,172,2021,172_1,0,0,0,883.8917117,84.27536232,80,104,136
311,172,2020,172_10,0,0,0,933.97948,84.7037037,86,107,135
312,172,2021,172_10,0,0,0,933.97948,84.7037037,80,104,136
313,172,2020,172_11,0,0,0,987.1051645,84.49640288,86,107,135
314,172,2021,172_11,0,0,0,987.1051645,84.49640288,80,104,136
315,172,2020,172_12,0,0,0,1049.416721,80,86,107,135
316,172,2021,172_12,0,0,0,1049.416721,80,52,104,136
317,172,2020,172_13,0,0,0,1041.867413,81.17647059,86,107,135
318,172,2021,172_13,0,0,0,1041.867413,81.17647059,52,104,136
319,172,2020,172_2,0,0,0,905.2438983,84.34782609,86,107,135
320,172,2021,172_2,0,0,0,905.2438983,84.34782609,80,104,136
321,172,2020,172_3,1,1,0,936.4465836,84.42028986,86,107,135
